'Content Partner', 'Channel', 'Video Title', 'Net Revenue'
'Nosey Baxter', 'Nosey', She Is My Property, 0.40 
'Nosey Baxter', 'Nosey', Sizzling Sex Secrets!, 0.49 
'Nosey Baxter', 'Nosey', Women At War! Shocking Test Results!, 0.11 
'Nosey Baxter', 'Nosey', Steve vs. Buddy, 0.34 
'Nosey Baxter', 'Nosey', Did My Fiance Cheat With My Mom?, 0.56 
'Nosey Baxter', 'Nosey', Are You Sleeping With My Son?, 0.39 
'Nosey Baxter', 'Nosey', 2 Moms. 3 Babies. Is One Man The Dad?, 0.24 
'Nosey Baxter', 'Nosey', Honey This Is My Real Job!, 0.53 
'Nosey Baxter', 'Nosey', You Stole 15 Years of My Life, 0.26 
'Nosey Baxter', 'Nosey', 10 Moms. 12 Kids. Whos The Dad? Part 2, 0.17 
'Nosey Baxter', 'Nosey', Honey, I'm Leaving You!, 0.22 
'Nosey Baxter', 'Nosey', My Teen Daughter Wants a Baby, 0.45 
'Nosey Baxter', 'Nosey', I'll Prove Her Baby's Not Mine!, 0.35 
'Nosey Baxter', 'Nosey', You Won't Marry Him!, 0.28 
'Nosey Baxter', 'Nosey', Return of the Past Guests Part 2, 0.38 
'Nosey Baxter', 'Nosey', You Better Not Fail That Test!, 0.46 
'Nosey Baxter', 'Nosey', After the Affair, Whos the Father?, 0.09 
'Nosey Baxter', 'Nosey', Crawl to Your Wife, 0.35 
'Nosey Baxter', 'Nosey', I'm 27Is My Teen Boyfriend Cheating?, 0.26 
'Nosey Baxter', 'Nosey', Guess Who I'm Leaving You For!, 0.36 
'Nosey Baxter', 'Nosey', You Slept With THAT Man?, 0.17 
'Nosey Baxter', 'Nosey', Pricey Pleasures, 0.43 
'Nosey Baxter', 'Nosey', A Tragic Accident, 0.21 
'Nosey Baxter', 'Nosey', I Did It To Hurt You, 0.14 
'Nosey Baxter', 'Nosey', Invasion of the Angry Lovers, 0.24 
'Nosey Baxter', 'Nosey', Holiday Hell With My Feuding Family, 0.16 
'Nosey Baxter', 'Nosey', I Don't Want To Meet Your Baby!, 0.55 
'Nosey Baxter', 'Nosey', I'm Raising Him, But Is He Mine?, 0.10 
'Nosey Baxter', 'Nosey', You Waited 17 Years For This!, 0.08 
'Nosey Baxter', 'Nosey', The Sex Was Too Short To Make A Baby, 0.70 
'Nosey Baxter', 'Nosey', Guess What? I'm Cheating, 0.27 
'Nosey Baxter', 'Nosey', I'm Only 16Am I Her Baby's Dad?, 0.14 
'Nosey Baxter', 'Nosey', It's Your Fault I'm Cheating!, 0.15 
'Nosey Baxter', 'Nosey', 1 Woman 5 Kids 15 Men Tested, 0.30 
'Nosey Baxter', 'Nosey', Steve Gets The Real Update, 0.43 
'Nosey Baxter', 'Nosey', Secrets Revealed I Cheated With Over 200 Men!, 0.43 
'Nosey Baxter', 'Nosey', You're Twice My Daughter's Age, You Cheater!, 0.36 
'Nosey Baxter', 'Nosey', A Man and His Food: A Love Story!, 0.19 
'Nosey Baxter', 'Nosey', Im Starving Myself to Death, 0.29 
'Nosey Baxter', 'Nosey', Shocking Results Where Are They Now?, 0.16 
'Nosey Baxter', 'Nosey', You Cheated Your 3 Kids Aren't His!, 0.20 
'Nosey Baxter', 'Nosey', I'll Prove Your 5 Kids Are Not Mine!, 0.22 
'Nosey Baxter', 'Nosey', Who Am I Marrying?, 0.15 
'Nosey Baxter', 'Nosey', I Never Let You Go, 0.50 
'Nosey Baxter', 'Nosey', Hidden Affairs!, 0.34 
'Nosey Baxter', 'Nosey', Beware! Hidden Dangers Caught on Tape, 0.14 
'Nosey Baxter', 'Nosey', These Women Lied The 3 Kids Aren't Mine!, 0.25 
'Nosey Baxter', 'Nosey', Mom, Your Man is a Cheater!, 0.26 
'Nosey Baxter', 'Nosey', Family And Babysitter Secrets Revealed, 0.20 
'Nosey Baxter', 'Nosey', A Reason to Worry, 0.16 
'Nosey Baxter', 'Nosey', AirPnP, 0.01 
'Nosey Baxter', 'Nosey', Lights, Camera, No Action, 0.02 
'Nosey Baxter', 'Nosey', My Violent Valentine, 0.08 
'Nosey Baxter', 'Nosey', Over My Dead Body!, 0.14 
'Nosey Baxter', 'Nosey', Pups in the City, 0.01 
'Nosey Baxter', 'Nosey', Gold Digger, 0.19 
'Nosey Baxter', 'Nosey', No No in the Mo Mo, 0.04 
'Nosey Baxter', 'Nosey', Riding Dirty, 0.03 
'Nosey Baxter', 'Nosey', Saucy Sisters, 0.11 
'Nosey Baxter', 'Nosey', Slum Village, 0.11 
'Nosey Baxter', 'Nosey', Crypto Crook, 0.17 
'Nosey Baxter', 'Nosey', Netflix and Chill, 0.15 
'Nosey Baxter', 'Nosey', Ruff Times, 0.03
'Nosey Baxter', 'Nosey', Frick Your Frock, 0.02
'Nosey Baxter', 'Nosey', Secret Slasher, 0.01
'Nosey Baxter', 'Nosey', War of the Roses, 0.06
'Nosey Baxter', 'Nosey', Fit Flirter, 0.03
'Nosey Baxter', 'Nosey', I Left You But You Are The Father, 0.08
'Nosey Baxter', 'Nosey', Party in the Hood, 0.05
'Nosey Baxter', 'Nosey', The Results Are Baked In, 0.04
'Nosey Baxter', 'Nosey', Love or Visa?, 0.12
'Nosey Baxter', 'Nosey', Not My Corona, 0.09
'Nosey Baxter', 'Nosey', Party Girl Cruise, 0.01
'Nosey Baxter', 'Nosey', My Big Bro Cause My Divorce, 0.06
